,folder_name,Scan_ID,percent_vertical_cover,num_trees,understory_count,midstory_count,overstory_count,understory_percent,midstory_percent,overstory_percent,basal_area_m,max_canopy_height_m
139,05_08_2025,05_08_2025_Setup6,0.629413326,4,1615301,200039,1186165,0.538163688,0.066646232,0.39519008,18.53916117,30.033
140,05_08_2025,05_08_2025_Setup8,0.55524694,6,2260314,161725,1072555,0.646803033,0.046278623,0.306918343,23.39102776,33.654
141,05_08_2025,05_08_2025_Setup9,0.389842894,3,1433896,88395,680361,0.650986175,0.040131169,0.308882656,17.13730984,27.404
142,05_10_2025,05_10_2025_Setup1,0.330120269,0,1795337,298129,368794,0.729141927,0.121079415,0.149778659,0,0
143,05_10_2025,05_10_2025_Setup10,0.411916859,3,2803548,130272,634029,0.785781013,0.036512756,0.177706231,15.2647005,33.584
144,05_10_2025,05_10_2025_Setup2,0.70564629,4,2331248,192108,1636548,0.560409086,0.046180873,0.39341004,17.77271299,29.79
145,05_10_2025,05_10_2025_Setup3,0.845960906,5,2274769,164306,1320757,0.605018788,0.043700357,0.351280855,21.86239881,30.81
146,05_10_2025,05_10_2025_Setup4,0.799616156,7,1323568,176962,1480904,0.44393671,0.05935466,0.496708631,23.4005791,29.953
147,05_10_2025,05_10_2025_Setup5,0.332500669,3,778470,107977,451891,0.581669205,0.080679918,0.337650877,8.294198707,31.185
148,05_10_2025,05_10_2025_Setup6,0.310717982,2,2262190,115539,477628,0.792261703,0.040463942,0.167274355,7.64271731,33.338
149,05_10_2025,05_10_2025_Setup7,0.772571127,9,2608542,317650,940072,0.674693192,0.082159418,0.24314739,29.92089033,32.706
150,05_10_2025,05_10_2025_Setup8,0.225646215,1,1295407,67757,344145,0.758741973,0.039686431,0.201571596,5.265800374,27.299
151,05_10_2025,05_10_2025_Setup9,0.755878468,5,3929745,360600,1003843,0.742275303,0.068112428,0.189612269,16.64780845,34.831
152,05_14_2025,05_14_2025_Setup1,0.850993377,3,1499663,522283,1888122,0.383538854,0.133573892,0.482887254,8.018207959,25.063
153,05_14_2025,05_14_2025_Setup10,0.332174624,4,964319,59650,461364,0.64922748,0.040159345,0.310613176,12.8991699,26.087
154,05_14_2025,05_14_2025_Setup11,0.482097458,2,394654,43405,625321,0.371131674,0.040817958,0.588050368,5.795340283,25.888
155,05_14_2025,05_14_2025_Setup12,0.706098166,1,822654,840227,1292402,0.278367249,0.28431355,0.437319201,3.222867438,17.689
156,05_14_2025,05_14_2025_Setup13,0.534245123,5,699297,105264,748650,0.450226659,0.067771861,0.48200148,11.72302016,26.699
157,05_14_2025,05_14_2025_Setup14,0.574981401,5,262240,320167,651849,0.212468078,0.259400805,0.528131117,10.77621395,27.604
158,05_14_2025,05_14_2025_Setup2,0.764326772,7,1036793,631763,1317380,0.34722546,0.211579552,0.441194989,16.53616483,28.935
159,05_14_2025,05_14_2025_Setup3,0.359304313,2,550775,343147,443196,0.411912038,0.256631801,0.331456162,4.750621853,27.583
160,05_14_2025,05_14_2025_Setup4,0.558366384,4,506806,475173,838031,0.278463305,0.261082631,0.460454063,4.259318606,23.819
